experiment,BES,MC,MES,array,sum,main_vsg
BDF2_1_KO48,1.0546597631613417,1.0,1.4293940324704992,1.0,4.484053795631841,-0.3716070759961455
BDF3_1_KO24,2.4593805872780243,1.025547565154898,6.231530994267659,1.025547565154898,10.74200671185548,-0.55534873245906
BET151_1_Drug12h,1.0,1.0,0.9678576761165494,1.0,3.967857676116549,-0.0275526830812994
BET151_1_Drug24h,0.8628910460764099,1.0,0.9208965401369524,1.0,3.7837875862133625,-0.7093576391687768
BET151_1_Drug3h,1.0773854793176991,1.0,1.093596385315424,1.0,4.170981864633124,0.4827656314323421
BET151_1_Drug48h,0.7574098792154972,1.0,2.660003190806368,1.0,5.4174130700218655,-2.576211748537816
BET151_1_Drug6h,1.0199594579972255,1.0,1.1122959928183187,1.0,4.132255450815544,0.0941770164332147
BET151_1_Drug72h,0.8510200514467942,1.0,10.78798790704513,1.038176518448115,13.677184476940038,-3.0991439516055923
CAF1b_1_RNAi24,3.5079263117565658,1.0327766163974037,37.36036854386853,1.0484529552814108,42.94952442730391,-0.4578975998159214
CFB2_1_RNAi9,1.0199195154057374,0.9932103846243784,2.828255172138328,0.992805838206179,5.8341909103746215,-1.3941741218233803
DFO_1_DFO,1.0041368776052362,1.0,1.057581140042289,1.0,4.061718017647525,0.0340478509072493
DFO_1_DFOFe,1.0027095965493031,1.0,0.9462144002417138,1.0,3.948923996791017,-0.0407889032782609
DFO_1_Fe,1.008709715259748,1.0,0.9790139266030364,1.0,3.987723641862784,0.0540814548695
DRBD18_1_RNAi12,0.9988130070938216,1.0,0.8352847536365076,1.0,3.834097760730329,-0.3173776285984034
H1_1_RNAi96,3.91870842571242,1.0,2.376237933208716,1.0,8.294946358921136,-0.528919757098685
H3H4_1_KOH3,1.5594780731023783,1.016557916609905,2.2889600747575813,1.0,5.864996064469865,-0.326965085953826
H3H4_1_KOH3J,2.919008420069181,1.0997166263662472,4.951800100425126,1.0,9.970525146860556,-0.119570362644664
H3H4_1_KOH4,1.0,1.0,0.5229577846224917,1.0,3.522957784622492,-0.6820751471665794
H3H4_1_KOH4J,1.044773464590944,1.0,0.7839939715771663,1.0,3.82876743616811,-0.6398193868097471
H3H4_1_KOJ2,0.7822027463406143,1.0,0.3256292866209842,1.0,3.1078320329615985,-0.9816170942293536
H3H4_2_KO48,2.1091229018148314,1.14654473858749,10.764098188364333,1.0495504464382714,15.069316275204924,-1.3456682852486597
H3H4_3_KO48,1.9397214408959624,1.1198072603005187,15.978743262502247,1.0362009067060098,20.07447287040474,-2.03947026200184
H3_1_KOH3,2.317297323539219,1.0151380533185923,4.589085349599937,1.0,8.921520726457748,-0.066997513190518
H3_1_KOH3J,2.0840775898803265,1.041172691954135,6.132776029519658,1.0055448108211464,10.263571122175264,0.0904736206932337
H3_1_KOJ,0.8906992324345203,1.0,1.0609915640910987,1.0,3.951690796525619,0.0084394054201721
IPMK_1_RNAi36,1.015546490681392,1.0,1.094688003025472,1.0003257479467016,4.110560241653566,-0.2811092438610885
IPMK_2_RNAi36,1.0,1.0,0.8934002710573543,1.0,3.893400271057354,-0.1734775772411335
MCMBP_1_KO24,2.5879569660001187,1.002129881189957,4.7688063925488136,1.0223534638793508,9.381246703618242,-0.1814768256454912
MCMBP_1_KO48,6.714779154975935,1.1217073185030175,13.287653856789426,1.175329511312157,22.29946984158053,-0.7051495729296695
PIP5Pase_1_KO,51.11263509255524,4.6270125385823455,24.66952075365021,16.34505304784839,96.7542214326362,-0.5163364053136648
PIP5Pase_2_D360A_N362A,11.287110139715232,2.2495734464265595,11.41234558384984,4.017353442322717,28.966382612314348,-1.351487947009242
PNUTS_1_RNAi48,2.3968896488773503,1.0710508466394872,10.476356242447473,1.053954697998407,14.998251435962718,-0.1099583613435495
RBP10_1_RNAi24,1.0801670869149167,1.0,0.8866916556772444,1.0,3.966858742592161,-0.6709929448027754
RBP10_2_RNAi24,1.0,1.0,0.9266857705036314,1.0,3.926685770503632,-0.6879692252549737
RBP10_3_RNAi24,0.9698303802575248,1.0,0.642391586587615,1.0,3.61222196684514,-0.660514838206342
RBP33_1_RNAi48,1.2985437315982102,1.268997700256895,11.591078139250936,2.6833088385023727,16.841928409608414,-1.109092329840755
RBP42_1_KO24,1.2384542232653206,1.0017227680473295,1.320677254437886,1.0009293483977724,4.5617835941483085,0.1769003212005677
RBP42_1_KO48,0.8983512325092265,1.0051684637652802,1.2452513653484028,1.0122200568281523,4.1609911184510615,-0.0179453533487485
RBP42_1_KO72,0.8792130745389891,1.0662462734930216,2.473863640318004,1.1147782642673716,5.534101252617386,-0.2204171980092681
RNaseH1_1_KO,1.0445985735702124,1.0,1.0697788649872453,1.0,4.114377438557458,-0.14274327896736
RNaseH2A_1_RNAi24,1.577203225767631,1.0,2.5906163628503527,1.0,6.167819588617984,-0.4175029564491695
RNaseH2A_2_RNAi36,1.6405975051451127,1.0650979060642085,7.850539043252483,1.0440584047024415,11.600292859164249,-1.501026367350086
SET27_1_KO,3.8856816098014906,1.0232698833478011,3.699032970745601,1.062249709233006,9.6702341731279,0.1890628548150378
SET27_1_sKO,2.021484243839456,1.0,1.984942013809082,1.0,6.006426257648537,-0.1021301320133172
SNF2PH_1_RNAi48,1.196934210313689,1.0,2.854105788687465,1.0,6.051039999001154,-0.0149394806947259
TFR_1_RNAi24,1.2532304013092568,1.0003051463623915,1.4225309534136668,1.005243445996874,4.681309947082189,-0.063091853926638
TbATR_1_RNAi24,2.422513558747414,1.017048649326724,3.461629550062125,1.014129045574918,7.915320803711181,-0.2232062944326432
